"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arhgef38",8.86285486215559e-56,0.342307639890966,0.608,0.328,1.49560675798876e-51,"EE-EC H","Arhgef38"
"Reg4",2.00088888114274e-55,0.930443111032095,0.801,0.655,3.37649998692837e-51,"EE-EC H","Reg4"
"Smad7",4.74537612558371e-55,0.264442626359398,0.483,0.214,8.00782221192252e-51,"EE-EC H","Smad7"
"Actn1",4.81734508199834e-54,0.314432755608527,0.611,0.327,8.12926982587221e-50,"EE-EC H","Actn1"
"Ier2",1.24915534630379e-53,0.382324840897358,0.941,0.792,2.10794964688765e-49,"EE-EC H","Ier2"
"Dnaja4",1.28415640558086e-53,0.259438551434513,0.47,0.207,2.1670139344177e-49,"EE-EC H","Dnaja4"
"Nisch",2.19590403748462e-53,0.343892541754348,0.788,0.567,3.70558806325529e-49,"EE-EC H","Nisch"
"Pdk3",2.8925322219383e-53,0.256913076013053,0.396,0.161,4.88114812452088e-49,"EE-EC H","Pdk3"
"Arhgap5",3.57463160585858e-53,0.355745648909389,0.79,0.593,6.03219083488636e-49,"EE-EC H","Arhgap5"
"Arl5b",4.38517456804468e-53,0.260440541354029,0.35,0.134,7.39998208357539e-49,"EE-EC H","Arl5b"
"Hnrnph1",3.78722243020495e-52,0.36020350307962,0.649,0.378,6.39093785097085e-48,"EE-EC H","Hnrnph1"
"Serpinb1a",4.35392587075535e-52,0.397987316316693,0.866,0.719,7.34724990689966e-48,"EE-EC H","Serpinb1a"
"Kctd12",1.95567616914481e-50,0.292613712392327,0.887,0.671,3.30020353543186e-46,"EE-EC H","Kctd12"
"Plac8",1.1474336296624e-49,0.361304404250395,0.967,0.925,1.93629425005531e-45,"EE-EC H","Plac8"
"Hspa5",1.38656667446571e-49,0.310301776371869,0.99,0.929,2.33983126316088e-45,"EE-EC H","Hspa5"
"Akr1b3",1.391884496339e-49,0.300329721524426,0.496,0.242,2.34880508757206e-45,"EE-EC H","Akr1b3"
"Cops4",5.2650110743705e-49,0.311724001655288,0.464,0.227,8.88470618800022e-45,"EE-EC H","Cops4"
"Kdm7a",5.75705937276211e-49,0.279231976135147,0.526,0.272,9.71503769153606e-45,"EE-EC H","Kdm7a"
"Cd63",9.30409227848941e-49,0.394160221410068,0.825,0.638,1.57006557199509e-44,"EE-EC H","Cd63"
"Tiparp",1.36472897787794e-48,0.292839780464412,0.409,0.185,2.30298015016903e-44,"EE-EC H","Tiparp"
"Taok3",7.01942575838112e-48,0.323537169343699,0.572,0.33,1.18452809672681e-43,"EE-EC H","Taok3"
"Vps50",7.36363934818526e-48,0.25321144278682,0.392,0.171,1.24261414000626e-43,"EE-EC H","Vps50"
"Dst",1.2580587274015e-47,0.296695410629849,0.535,0.279,2.12297410249003e-43,"EE-EC H","Dst"
"Mia3",1.65862702712819e-47,0.259682866697156,0.51,0.259,2.79893310827882e-43,"EE-EC H","Mia3"
"Fam46a",4.30585541544946e-47,0.580817496248078,0.812,0.641,7.26613101357096e-43,"EE-EC H","Fam46a"
"Onecut2",5.86018126695806e-47,0.347274640781885,0.822,0.613,9.88905588799173e-43,"EE-EC H","Onecut2"
"Nono",1.03303157131119e-46,0.260383644976774,0.548,0.29,1.74324077658763e-42,"EE-EC H","Nono"
"Tia1",2.30163341061425e-46,0.266966817855305,0.529,0.274,3.88400638041154e-42,"EE-EC H","Tia1"
"Insig1",2.43466390015583e-46,0.271464658798874,0.412,0.189,4.10849533151296e-42,"EE-EC H","Insig1"
"Eid1",2.67111031420655e-46,0.359452523092736,0.555,0.323,4.50749865522356e-42,"EE-EC H","Eid1"
"Glod5",3.17028720267696e-46,0.346075504282551,0.477,0.244,5.34985965451736e-42,"EE-EC H","Glod5"
"Cdh17",4.50698995909691e-46,0.355023673246488,0.831,0.665,7.60554555597604e-42,"EE-EC H","Cdh17"
"Malat1",9.16150658709472e-46,0.543254651067033,1,1,1.54600423657223e-41,"EE-EC H","Malat1"
"Celf1",2.75504004372012e-45,0.255354960498602,0.581,0.32,4.6491300737777e-41,"EE-EC H","Celf1"
"Tuba1a",1.08968815930998e-44,0.338344593867389,0.841,0.65,1.83884876883558e-40,"EE-EC H","Tuba1a"
"Eps8",1.17490607541878e-44,0.27049558090605,0.496,0.253,1.9826540022692e-40,"EE-EC H","Eps8"
"Anxa5",1.44085431305045e-44,0.341542401596621,0.539,0.294,2.43144165327264e-40,"EE-EC H","Anxa5"
"Clk1",5.21962276411083e-44,0.35174036379739,0.656,0.414,8.80811341443703e-40,"EE-EC H","Clk1"
"Atp1a1",6.8541740087922e-44,0.319925690877128,0.837,0.669,1.15664186398368e-39,"EE-EC H","Atp1a1"
"Ndfip2",1.34621085256524e-43,0.284008283710156,0.539,0.302,2.27173081370385e-39,"EE-EC H","Ndfip2"
"Qdpr",1.50046221706398e-43,0.363214107697649,0.53,0.291,2.53202999129547e-39,"EE-EC H","Qdpr"
"Prdx1",1.77280200049139e-43,0.3031145936492,0.893,0.742,2.99160337582923e-39,"EE-EC H","Prdx1"
"Acta1",5.1268469314923e-43,0.337674059104201,0.39,0.174,8.65155419689326e-39,"EE-EC H","Acta1"
"Utrn",7.87764542696081e-43,0.259266678491926,0.497,0.254,1.32935266579964e-38,"EE-EC H","Utrn"
"Ece1",8.06187770156176e-43,0.25999490953119,0.565,0.307,1.36044186213855e-38,"EE-EC H","Ece1"
"Ptprf",1.11097312621372e-42,0.270224285759758,0.653,0.399,1.87476715048566e-38,"EE-EC H","Ptprf"
"Slc38a2",2.89262748526222e-42,0.454518722521413,0.607,0.383,4.88130888137999e-38,"EE-EC H","Slc38a2"
"Atp2a2",4.96937969529235e-42,0.31279190642957,0.613,0.384,8.38582823580585e-38,"EE-EC H","Atp2a2"
"Gadd45a",8.15309695270913e-42,0.34390577721631,0.588,0.358,1.37583511076967e-37,"EE-EC H","Gadd45a"
"Tgoln1",8.77434698695127e-42,0.282715174823444,0.645,0.4,1.48067105404803e-37,"EE-EC H","Tgoln1"
"Ccnl1",1.17961284739564e-41,0.353555451232636,0.717,0.511,1.99059667998014e-37,"EE-EC H","Ccnl1"
"Ddit3",2.17804662748586e-41,0.356037927807945,0.474,0.253,3.67545368388238e-37,"EE-EC H","Ddit3"
"Celf3",5.8855481124178e-41,0.253264219243104,0.587,0.33,9.93186243970504e-37,"EE-EC H","Celf3"
"Ssbp3",8.66065372014415e-41,0.256627622124005,0.552,0.31,1.46148531527433e-36,"EE-EC H","Ssbp3"
"Kif21a",3.94511916946501e-40,0.250213252658881,0.477,0.252,6.6573885984722e-36,"EE-EC H","Kif21a"
"Foxp1",4.02412717818429e-40,0.250612342777372,0.533,0.297,6.790714613186e-36,"EE-EC H","Foxp1"
"Resp18",4.31662339798907e-40,0.383104374226429,0.694,0.474,7.28430198410656e-36,"EE-EC H","Resp18"
"Eif5",1.06270517620721e-39,0.266142415500287,0.919,0.789,1.79331498484966e-35,"EE-EC H","Eif5"
"Atp11b",1.95010336617483e-39,0.283470211827085,0.548,0.311,3.29079943042003e-35,"EE-EC H","Atp11b"
"Anapc5",4.25451224891194e-39,0.273388530968953,0.581,0.349,7.1794894200389e-35,"EE-EC H","Anapc5"
"Nfkbiz",2.27243805019657e-38,0.261342699730927,0.347,0.158,3.83473920970671e-34,"EE-EC H","Nfkbiz"
"Rasd1",2.66574535544687e-38,0.301472636217251,0.627,0.366,4.49844528731659e-34,"EE-EC H","Rasd1"
"Fdps",6.22183849378478e-38,0.270920955075285,0.467,0.247,1.04993524582618e-33,"EE-EC H","Fdps"
"BC005561",8.64833087202391e-38,0.274329537023803,0.491,0.27,1.45940583465403e-33,"EE-EC H","BC005561"
"Guk1",9.71644283225782e-38,0.30315618666158,0.611,0.387,1.63964972794351e-33,"EE-EC H","Guk1"
"Tnrc6c",1.31019788197628e-37,0.257678967742138,0.568,0.334,2.21095892583498e-33,"EE-EC H","Tnrc6c"
"Rhob",3.7055101731509e-37,0.275508867952911,0.594,0.356,6.25304841719215e-33,"EE-EC H","Rhob"
"Cd164",4.85445533859513e-36,0.30324105645914,0.61,0.399,8.19189338387928e-32,"EE-EC H","Cd164"
"Iqgap1",8.64328297918107e-36,0.31061873167271,0.724,0.557,1.45855400273681e-31,"EE-EC H","Iqgap1"
"Cacna1a",1.27299410235708e-35,0.253022744174231,0.905,0.693,2.14817754772758e-31,"EE-EC H","Cacna1a"
"Dnaja1",2.26134628802192e-35,0.319119772729926,0.866,0.749,3.81602186103699e-31,"EE-EC H","Dnaja1"
"Rnase4",2.29204251119763e-35,0.296237200155418,0.581,0.36,3.867821737646e-31,"EE-EC H","Rnase4"
"Idi1",3.98073035156303e-35,0.26008267331016,0.392,0.199,6.7174824682626e-31,"EE-EC H","Idi1"
"Ddx3x",1.24244699824953e-34,0.306795242509541,0.728,0.558,2.09662930954609e-30,"EE-EC H","Ddx3x"
"Scg5",1.38263288048418e-34,0.333430906468095,0.675,0.461,2.33319298581706e-30,"EE-EC H","Scg5"
"Brd2",3.53882943978353e-34,0.318436959696311,0.597,0.387,5.97177467963471e-30,"EE-EC H","Brd2"
"Peg3",6.04888853064546e-34,0.481522224350554,0.673,0.505,1.02074993954642e-29,"EE-EC H","Peg3"
"Rsrc2",1.01215374150133e-33,0.268811269653953,0.685,0.488,1.7080094387835e-29,"EE-EC H","Rsrc2"
"Odc1",5.61414415275398e-33,0.264961530518494,0.514,0.301,9.47386825777234e-29,"EE-EC H","Odc1"
"Msmo1",4.33576979329649e-32,0.283807835051331,0.449,0.251,7.31661152618782e-28,"EE-EC H","Msmo1"
"Zfand5",6.49262511254202e-32,0.278477618855705,0.617,0.405,1.09563048774147e-27,"EE-EC H","Zfand5"
"Agr2",9.46975135157478e-32,0.542235642176534,0.796,0.634,1.59802054057824e-27,"EE-EC H","Agr2"
"Hist1h1c",1.32111515629944e-30,0.285479008863664,0.473,0.278,2.22938182625531e-26,"EE-EC H","Hist1h1c"
"Rgs2",4.11904603074074e-30,0.35646694888151,0.675,0.486,6.950890176875e-26,"EE-EC H","Rgs2"
"Dnajb1",6.48039377246728e-30,0.283997511136287,0.402,0.22,1.09356644910385e-25,"EE-EC H","Dnajb1"
"Txn1",1.90503023287281e-29,0.278347058938833,0.922,0.899,3.21473851797286e-25,"EE-EC H","Txn1"
"Zbtb20",1.80262951123593e-28,0.353267837064203,0.605,0.407,3.04193730021063e-24,"EE-EC H","Zbtb20"
"Ppp2ca",5.85217250795407e-28,0.301116685459419,0.569,0.388,9.87554110717249e-24,"EE-EC H","Ppp2ca"
"Cmpk1",1.37589982331634e-27,0.284201411598359,0.561,0.386,2.32183095184633e-23,"EE-EC H","Cmpk1"
"Selenok",6.73041885221998e-26,0.288030600873764,0.767,0.664,1.13575818131212e-21,"EE-EC H","Selenok"
"Tra2b",4.52398484026206e-25,0.255738831755097,0.686,0.545,7.63422441794223e-21,"EE-EC H","Tra2b"
"Tagln2",5.54684643777521e-24,0.258494952261655,0.702,0.556,9.36030336374567e-20,"EE-EC H","Tagln2"
"Lgals2",3.23445513443465e-22,0.34484513868625,0.984,0.965,5.45814303935847e-18,"EE-EC H","Lgals2"
"S100a10",6.76961124977253e-17,0.271523588866965,0.681,0.561,1.14237189839911e-12,"EE-EC H","S100a10"
"Afp",5.00321232990133e-09,0.684813656258528,0.272,0.185,8.4429208067085e-05,"EE-EC H","Afp"
"Reg41",0,2.31559989659893,0.95,0.624,0,"EE-EC IR","Reg4"
"Tac1",0,2.03454487373805,0.747,0.15,0,"EE-EC IR","Tac1"
"Chga1",0,2.0064611336742,0.997,0.681,0,"EE-EC IR","Chga"
"Krt71",0,1.644929886932,0.991,0.58,0,"EE-EC IR","Krt7"
"Tph11",0,1.49597198938672,0.991,0.431,0,"EE-EC IR","Tph1"
"Chgb1",0,1.49157882391787,1,0.914,0,"EE-EC IR","Chgb"
"Ambp1",0,1.26661417809885,0.919,0.407,0,"EE-EC IR","Ambp"
"Serpina1c1",0,1.22726411671908,0.716,0.161,0,"EE-EC IR","Serpina1c"
"Selenop1",0,1.17134099969866,0.989,0.729,0,"EE-EC IR","Selenop"
"Slc18a11",0,1.16326627110227,0.919,0.215,0,"EE-EC IR","Slc18a1"
"Ccnd21",0,1.13633148113543,0.819,0.253,0,"EE-EC IR","Ccnd2"
"Hspb11",0,1.11765842167026,0.705,0.131,0,"EE-EC IR","Hspb1"
"Krt191",0,1.1151107991717,0.982,0.579,0,"EE-EC IR","Krt19"
"S100a61",0,1.08529365009446,0.888,0.376,0,"EE-EC IR","S100a6"
"Serpina1e1",0,1.08157453786322,0.661,0.123,0,"EE-EC IR","Serpina1e"
"Syt71",0,1.03640768613743,0.802,0.305,0,"EE-EC IR","Syt7"
"Cartpt1",0,1.01779317777533,0.58,0.102,0,"EE-EC IR","Cartpt"
"Tpbg1",0,1.00080233991761,0.793,0.071,0,"EE-EC IR","Tpbg"
"Apoa11",0,0.942110821588045,0.781,0.214,0,"EE-EC IR","Apoa1"
"Trpm21",0,0.91012215073446,0.784,0.146,0,"EE-EC IR","Trpm2"
"Gsdma1",0,0.890389606997024,0.72,0.161,0,"EE-EC IR","Gsdma"
"Snap251",0,0.885982953648894,0.835,0.257,0,"EE-EC IR","Snap25"
"Ffar21",0,0.850607284431239,0.839,0.201,0,"EE-EC IR","Ffar2"
"Lmx1a1",0,0.83620788645111,0.795,0.088,0,"EE-EC IR","Lmx1a"
"Scn3a1",0,0.836054275621653,0.865,0.202,0,"EE-EC IR","Scn3a"
"Itpr31",0,0.834535199997774,0.824,0.215,0,"EE-EC IR","Itpr3"
"Rab3c1",0,0.821608046423517,0.63,0.101,0,"EE-EC IR","Rab3c"
"Ftl1",0,0.81386668664528,0.986,0.821,0,"EE-EC IR","Ftl1"
"Gm325851",0,0.804933331093557,0.495,0.067,0,"EE-EC IR","Gm32585"
"Ptprn1",0,0.796940170694782,0.82,0.194,0,"EE-EC IR","Ptprn"
"Bex21",0,0.793408147885292,0.834,0.294,0,"EE-EC IR","Bex2"
"Shisa21",0,0.786290524667585,0.753,0.129,0,"EE-EC IR","Shisa2"
"Gtf2f21",0,0.768923851726281,0.733,0.137,0,"EE-EC IR","Gtf2f2"
"Trpa11",0,0.767078880824571,0.592,0.06,0,"EE-EC IR","Trpa1"
"Kcnc11",0,0.759355202638191,0.699,0.134,0,"EE-EC IR","Kcnc1"
"Stxbp5l1",0,0.750821384303904,0.75,0.194,0,"EE-EC IR","Stxbp5l"
"Slco2a11",0,0.744047549586911,0.795,0.25,0,"EE-EC IR","Slco2a1"
"Pkdcc1",0,0.741309024621341,0.785,0.206,0,"EE-EC IR","Pkdcc"
"Ssfa21",0,0.74061535333358,0.716,0.156,0,"EE-EC IR","Ssfa2"
"Rasal21",0,0.737788665249503,0.746,0.113,0,"EE-EC IR","Rasal2"
"Mapk141",0,0.737238165394852,0.796,0.161,0,"EE-EC IR","Mapk14"
"Lap31",0,0.718093704017979,0.846,0.319,0,"EE-EC IR","Lap3"
"Sstr11",0,0.695455060687401,0.644,0.099,0,"EE-EC IR","Sstr1"
"Foxa11",0,0.666139346708287,0.683,0.128,0,"EE-EC IR","Foxa1"
"Slc38a111",0,0.643729085160908,0.704,0.093,0,"EE-EC IR","Slc38a11"
"Serpinf21",0,0.634003680210187,0.697,0.101,0,"EE-EC IR","Serpinf2"
"Igfbp4",0,0.604991697874404,0.551,0.067,0,"EE-EC IR","Igfbp4"
"Syn21",0,0.604166226500751,0.695,0.119,0,"EE-EC IR","Syn2"
"Sqor1",0,0.599287344561769,0.677,0.152,0,"EE-EC IR","Sqor"
"Rbp11",0,0.589273979597016,0.661,0.102,0,"EE-EC IR","Rbp1"
"Camk1d1",0,0.587676478603384,0.646,0.134,0,"EE-EC IR","Camk1d"
"Sorl11",0,0.554943882747502,0.677,0.151,0,"EE-EC IR","Sorl1"
"Ccdc681",0,0.537778196887773,0.659,0.148,0,"EE-EC IR","Ccdc68"
"Slc25a35",0,0.518193408260052,0.579,0.083,0,"EE-EC IR","Slc25a35"
"Tmigd31",0,0.502312491832463,0.612,0.109,0,"EE-EC IR","Tmigd3"
"Tgfb11",0,0.47939883488315,0.484,0.057,0,"EE-EC IR","Tgfb1"
"Otop31",0,0.474020711289274,0.518,0.072,0,"EE-EC IR","Otop3"
"Tnfrsf11b1",0,0.470423929687122,0.49,0.061,0,"EE-EC IR","Tnfrsf11b"
"Cdk141",0,0.414970884560683,0.474,0.057,0,"EE-EC IR","Cdk14"
"Wif11",0,0.412034863866679,0.434,0.047,0,"EE-EC IR","Wif1"
"Gm13373",0,0.335888534263357,0.303,0.015,0,"EE-EC IR","Gm13373"
"Lhfpl21",8.5475993858543e-306,0.473953756717926,0.586,0.117,1.44240739636291e-301,"EE-EC IR","Lhfpl2"
"Cwh431",1.82202559167894e-305,0.509610447319825,0.569,0.109,3.0746681859582e-301,"EE-EC IR","Cwh43"
"Asph1",1.46261503978975e-301,0.724605160746888,0.832,0.297,2.46816287964521e-297,"EE-EC IR","Asph"
"Resp181",2.52934713890441e-296,0.853541463738564,0.905,0.43,4.26827329690119e-292,"EE-EC IR","Resp18"
"Marcksl1",1.13649799256884e-295,0.650302724439451,0.76,0.237,1.91784036245992e-291,"EE-EC IR","Marcksl1"
"Apoc31",4.36963667988588e-293,0.63250385199292,0.599,0.127,7.37376189730742e-289,"EE-EC IR","Apoc3"
"Vgf1",4.66054276694787e-290,0.602488676905066,0.648,0.156,7.86466591922453e-286,"EE-EC IR","Vgf"
"Ctsl1",5.56335353211623e-290,0.680569387776154,0.794,0.246,9.38815908544613e-286,"EE-EC IR","Ctsl"
"Ceacam201",1.2013292355968e-289,0.422893714318302,0.513,0.088,2.0272430850696e-285,"EE-EC IR","Ceacam20"
"Pla2g71",1.20963625531678e-289,0.401543601213263,0.404,0.049,2.04126118084707e-285,"EE-EC IR","Pla2g7"
"Syt13",1.08014146145876e-288,0.540358320337288,0.716,0.198,1.82273871621166e-284,"EE-EC IR","Syt13"
"Nt5e1",3.11390723763805e-288,0.736985807548731,0.681,0.183,5.2547184635142e-284,"EE-EC IR","Nt5e"
"Pcsk11",3.57914585083401e-285,0.731277247365291,0.94,0.489,6.03980862328239e-281,"EE-EC IR","Pcsk1"
"Reep6",1.22342817307642e-282,0.581644336314843,0.735,0.229,2.06453504206645e-278,"EE-EC IR","Reep6"
"Pcsk1n1",4.05975724476279e-282,1.23402103131317,0.902,0.553,6.85084035053721e-278,"EE-EC IR","Pcsk1n"
"Pdk31",2.85324277803459e-280,0.442731659528414,0.578,0.12,4.81484718793336e-276,"EE-EC IR","Pdk3"
"Cyp2c65",6.37069559870448e-280,0.458873683294731,0.597,0.132,1.07505488228138e-275,"EE-EC IR","Cyp2c65"
"Sh3kbp11",5.91918752521581e-279,0.469608435111162,0.585,0.128,9.98862894880169e-275,"EE-EC IR","Sh3kbp1"
"Cyp2d26",1.50570285877723e-278,0.369951496284119,0.467,0.073,2.54087357418657e-274,"EE-EC IR","Cyp2d26"
"Pitx21",4.04142708499348e-278,0.588788592422614,0.622,0.152,6.8199082059265e-274,"EE-EC IR","Pitx2"
"Wfikkn2",4.77949204628469e-278,0.270349800234824,0.249,0.011,8.06539282810541e-274,"EE-EC IR","Wfikkn2"
"S100a141",3.64674385776781e-277,0.46713552263663,0.543,0.105,6.15388025998318e-273,"EE-EC IR","S100a14"
"Gsdme1",4.77878009056533e-277,0.405303064193909,0.512,0.093,8.06419140282899e-273,"EE-EC IR","Gsdme"
"Lcorl1",7.29614930693377e-276,0.760299217870231,0.861,0.388,1.23122519554507e-271,"EE-EC IR","Lcorl"
"Sulf2",3.02903881701546e-274,0.372211504752075,0.488,0.084,5.11150300371359e-270,"EE-EC IR","Sulf2"
"Atp6v1b21",1.38645670620367e-273,0.616603273009898,0.804,0.293,2.33964569171869e-269,"EE-EC IR","Atp6v1b2"
"Gpt",1.80484090649148e-271,0.381295483384717,0.44,0.068,3.04566902970437e-267,"EE-EC IR","Gpt"
"Tspan131",3.4243838569544e-268,0.715345991694544,0.905,0.469,5.77864775861055e-264,"EE-EC IR","Tspan13"
"St8sia31",6.76813532346379e-267,0.387380968179482,0.474,0.082,1.14212283583452e-262,"EE-EC IR","St8sia3"
"Cntnap2",1.33287986604707e-265,0.327663560030553,0.353,0.039,2.24923477395443e-261,"EE-EC IR","Cntnap2"
"Litaf1",4.80944170785444e-264,0.531086010467917,0.669,0.188,8.11593288200436e-260,"EE-EC IR","Litaf"
"Hepacam21",6.05312024489567e-263,0.683363277749478,0.979,0.74,1.02146404132614e-258,"EE-EC IR","Hepacam2"
"Gpx31",3.96836411728793e-261,0.949442826986914,0.855,0.438,6.69661444792339e-257,"EE-EC IR","Gpx3"
"Gspt11",8.6916012060758e-257,0.592519699241294,0.743,0.257,1.46670770352529e-252,"EE-EC IR","Gspt1"
"Gm152001",5.2907304235117e-256,0.585175526230499,0.66,0.184,8.928107589676e-252,"EE-EC IR","Gm15200"
"Acadsb1",9.12378871763992e-254,0.437333631837259,0.573,0.13,1.53963934610174e-249,"EE-EC IR","Acadsb"
"Slc38a12",3.33572115829697e-253,0.498906319604585,0.71,0.214,5.62902945462614e-249,"EE-EC IR","Slc38a1"
"Ccdc31",5.10036381621315e-253,0.305594596065173,0.336,0.037,8.60686393985968e-249,"EE-EC IR","Ccdc3"
"Stx18",8.03771664908266e-253,0.381737933450424,0.457,0.082,1.3563646845327e-248,"EE-EC IR","Stx18"
"Fry1",1.26908243453031e-252,0.454946123358535,0.561,0.128,2.14157660826989e-248,"EE-EC IR","Fry"
"1810043G02Rik",3.82682641329142e-252,0.418510997064993,0.518,0.109,6.45776957242928e-248,"EE-EC IR","1810043G02Rik"
"Anxa51",4.36661804684333e-252,0.603307227866156,0.749,0.249,7.36866795404812e-248,"EE-EC IR","Anxa5"
"Eif1",5.17672412738161e-252,0.617039546859705,0.995,0.903,8.73572196495647e-248,"EE-EC IR","Eif1"
"Nipal21",8.38555775996672e-252,0.526062941431591,0.668,0.191,1.41506287199438e-247,"EE-EC IR","Nipal2"
"Rgs21",6.00248795440319e-251,0.895290210846514,0.884,0.444,1.01291984230554e-246,"EE-EC IR","Rgs2"
"Slc9a21",7.7800625325851e-250,0.388744384394791,0.507,0.102,1.31288555237374e-245,"EE-EC IR","Slc9a2"
"Iqsec11",5.94688537758197e-248,0.380391578848845,0.478,0.09,1.00353690746696e-243,"EE-EC IR","Iqsec1"
"Qdpr1",1.23029231927154e-247,0.604570882081756,0.729,0.248,2.07611828877072e-243,"EE-EC IR","Qdpr"
"Hbegf1",2.82401619893847e-246,0.816854991943825,0.676,0.207,4.76552733570867e-242,"EE-EC IR","Hbegf"
"Tmem44",7.42107266809881e-246,0.362059551092313,0.419,0.068,1.25230601274167e-241,"EE-EC IR","Tmem44"
"Retreg11",1.13168177762737e-245,0.523603225255672,0.661,0.194,1.90971299974618e-241,"EE-EC IR","Retreg1"
"Rpl10",2.34769233551286e-244,0.638401066615012,0.947,0.498,3.96173081617795e-240,"EE-EC IR","Rpl10"
"Npy1r",2.70494795627779e-244,0.282944972167512,0.312,0.032,4.56459967621877e-240,"EE-EC IR","Npy1r"
"Btg11",1.33389857608709e-243,0.679354077036981,0.926,0.573,2.25095384714696e-239,"EE-EC IR","Btg1"
"Man1c1",1.32236786447485e-242,0.313486877817746,0.361,0.048,2.23149577130131e-238,"EE-EC IR","Man1c1"
"Cacna2d11",2.12134901322176e-242,0.794518252016441,0.848,0.436,3.57977645981171e-238,"EE-EC IR","Cacna2d1"
"Asns",1.99038525210432e-241,0.433070916291554,0.519,0.115,3.35877511292603e-237,"EE-EC IR","Asns"
"Upb11",9.28559994076966e-241,0.493777417889162,0.628,0.172,1.56694499000488e-236,"EE-EC IR","Upb1"
"Ppic1",5.99949669861947e-240,0.503633217733562,0.53,0.12,1.01241506789204e-235,"EE-EC IR","Ppic"
"Amigo21",1.23197125304721e-239,0.472998362903763,0.472,0.093,2.07895148951716e-235,"EE-EC IR","Amigo2"
"Nrp11",1.00798587363879e-238,0.461880931343062,0.59,0.15,1.70097616176546e-234,"EE-EC IR","Nrp1"
"Epb41l4b1",3.02216113781006e-237,0.587143002205828,0.748,0.277,5.09989692005448e-233,"EE-EC IR","Epb41l4b"
"Ccng1",4.82240322205745e-237,0.463906712761073,0.648,0.181,8.13780543722195e-233,"EE-EC IR","Ccng1"
"Pkp41",1.49063401625467e-236,0.486197583369013,0.562,0.142,2.51544490242976e-232,"EE-EC IR","Pkp4"
"Tubb2b1",3.06398757059749e-236,0.516490600457386,0.639,0.177,5.17047902538326e-232,"EE-EC IR","Tubb2b"
"Scamp51",2.09919148332278e-235,0.377380323001536,0.531,0.12,3.5423856281072e-231,"EE-EC IR","Scamp5"
"Gsdmd",6.0599204658393e-234,0.402751908142688,0.569,0.141,1.02261157861038e-229,"EE-EC IR","Gsdmd"
"Trim15",1.12967895210689e-232,0.375564428926325,0.449,0.086,1.90633323168037e-228,"EE-EC IR","Trim15"
"Fam43a",2.03957411162098e-231,0.375510231615582,0.465,0.092,3.44178131336041e-227,"EE-EC IR","Fam43a"
"Marcks1",8.32075362875307e-231,0.691901050447099,0.887,0.534,1.40412717485208e-226,"EE-EC IR","Marcks"
"C1qtnf41",7.53523434431585e-228,0.445894323444145,0.546,0.136,1.2715707956033e-223,"EE-EC IR","C1qtnf4"
"Isx",9.88785311455236e-228,0.329237678911375,0.378,0.058,1.66857521308071e-223,"EE-EC IR","Isx"
"Fmo21",1.43540637609297e-225,0.309262280484885,0.337,0.044,2.42224825965689e-221,"EE-EC IR","Fmo2"
"Rnf1451",6.32075001624257e-225,0.490243505856114,0.638,0.192,1.06662656524093e-220,"EE-EC IR","Rnf145"
"Bzw21",1.26572419022699e-224,0.533095724893033,0.637,0.197,2.13590957100804e-220,"EE-EC IR","Bzw2"
"Bax",2.50666986175009e-224,0.562988541711291,0.808,0.341,4.23000539170327e-220,"EE-EC IR","Bax"
"Olfm1",3.43329528111805e-224,0.443254874547307,0.612,0.167,5.79368578688671e-220,"EE-EC IR","Olfm1"
"Glis3",3.80340914484405e-224,0.297064845750555,0.369,0.056,6.41825293192434e-220,"EE-EC IR","Glis3"
"Itpk11",5.52496142329375e-224,0.504555304712918,0.641,0.198,9.3233724018082e-220,"EE-EC IR","Itpk1"
"Slc5a4b1",6.02060606465781e-224,0.325221763812934,0.353,0.05,1.01597727341101e-219,"EE-EC IR","Slc5a4b"
"Zfp703",1.28168257305923e-223,0.431085514704716,0.539,0.132,2.16283934203746e-219,"EE-EC IR","Zfp703"
"Parp1",2.4755285755627e-221,0.642667226056632,0.641,0.203,4.17745447126206e-217,"EE-EC IR","Parp1"
